0,1,0,1,0,1,0,1
1,0.988153159,1,0.991347135,1,0.991754407,1,0.998115088
2,0.976234871,2,0.982656341,2,0.983474392,2,0.996228394
3,0.964243381,3,0.973926944,3,0.975159374,3,0.994339912
4,0.952176857,4,0.965158248,4,0.966808753,4,0.992449635
5,0.940154628,5,0.956524094,5,0.960900383,5,0.991855663
6,0.930123285,6,0.949212837,6,0.959260473,6,0.994748318
7,0.9179887,7,0.941661642,7,0.95761916,7,0.997910685
8,0.905168953,8,0.934014872,8,0.955976439,8,1.001151481
9,0.892296955,9,0.92719144,9,0.957196949,9,1.004520221
10,0.879048481,10,0.921283773,10,0.955860487,10,1.006915901
11,0.86559664,11,0.915380098,11,0.952218612,11,1.00885762
12,0.850643882,12,0.908455187,12,0.948564678,12,1.010696858
13,0.837222408,13,0.902147244,13,0.944869364,13,1.011982025
14,0.824637266,14,0.895940072,14,0.941384475,14,1.013071909
15,0.812092169,15,0.888304354,15,0.939981854,15,1.016120616
16,0.799572491,16,0.880675677,16,0.938578185,16,1.019115422
17,0.790763577,17,0.873054876,17,0.934677906,17,1.020282817
18,0.782180149,18,0.865170943,18,0.930104142,18,1.021258919
19,0.774162766,19,0.85648712,19,0.924361669,19,1.020332038
20,0.767175158,20,0.846881908,20,0.917273482,20,1.017072849
21,0.759783411,21,0.837092819,21,0.908910595,21,1.013808428
22,0.751142655,22,0.826431404,22,0.900495545,22,1.013560884
23,0.74164345,23,0.815156223,23,0.89204099,23,1.015303563
24,0.731782967,24,0.805320457,24,0.886745765,24,1.02160316
25,0.719982192,25,0.79566676,25,0.8825624,25,1.029432404
26,0.70749793,26,0.78676081,26,0.878202442,26,1.035670115
27,0.69514527,27,0.778151532,27,0.873829203,27,1.040299677
28,0.683712245,28,0.770679019,28,0.86917464,28,1.038986151
29,0.672592454,29,0.760789053,29,0.86342283,29,1.031311014
30,0.661379968,30,0.750834381,30,0.857651798,30,1.023607211
31,0.651159659,31,0.740076099,31,0.852342376,31,1.015874308
32,0.641962647,32,0.729436446,32,0.847039385,32,1.008161184
33,0.63366251,33,0.718254063,33,0.838242524,33,1.002982662
34,0.625875278,34,0.707438038,34,0.826744348,34,0.999382923
35,0.618039296,35,0.696538686,35,0.815165649,35,0.995776689
36,0.610153318,36,0.68555338,36,0.803504125,36,0.992163913
37,0.602216046,37,0.674479341,37,0.791757352,37,0.988544547
38,0.594117809,38,0.662940613,38,0.782269438,38,0.985647007
39,0.586558803,39,0.653147049,39,0.77397109,39,0.983635696
40,0.578950772,40,0.643279502,40,0.765628014,40,0.981622328
41,0.57109929,41,0.634491626,41,0.756925187,41,0.979567035
42,0.563167995,42,0.626093936,42,0.747959952,42,0.976046968
43,0.555221569,43,0.618290371,43,0.739631631,43,0.969200637
44,0.546483262,44,0.607932656,44,0.731256153,44,0.959398321
45,0.537779032,45,0.597034569,45,0.722832433,45,0.948244887
46,0.529125001,46,0.586036091,46,0.71435934,46,0.936686368
47,0.520355883,47,0.575651238,47,0.703846574,47,0.928400688
48,0.511490189,48,0.565533902,48,0.692251502,48,0.921755436
49,0.502391816,49,0.555765967,49,0.680618329,49,0.914492296
50,0.493314888,50,0.546639751,50,0.668987636,50,0.906271792
51,0.485421434,51,0.536648109,51,0.656232309,51,0.897655848
52,0.478090457,52,0.524724633,52,0.643438149,52,0.88513708
53,0.470702835,53,0.512664109,53,0.630515497,53,0.872529147
54,0.463256776,54,0.500460007,54,0.617459028,54,0.859829454
55,0.457059732,55,0.48920652,55,0.604263021,55,0.848846219
56,0.45084154,56,0.478853818,56,0.591172082,56,0.837653516
57,0.444644659,57,0.470095166,57,0.578619964,57,0.825910996
58,0.438302848,58,0.461849062,58,0.566785342,58,0.814788795
59,0.43191482,59,0.453528673,59,0.554825844,59,0.803590156
60,0.424882834,60,0.445538731,60,0.542736026,60,0.790303266
61,0.418507637,61,0.438293094,61,0.533605145,61,0.772828805
62,0.411898484,62,0.430763588,62,0.524854885,62,0.754469866
63,0.404403714,63,0.423350542,63,0.516031064,63,0.735884763
64,0.396933319,64,0.416100919,64,0.50759971,64,0.718921342
65,0.389862631,65,0.408980378,65,0.498753536,65,0.702523874
66,0.385747424,66,0.400987167,66,0.486775623,66,0.687181223
67,0.381610149,67,0.392913475,67,0.474648477,67,0.671665334
68,0.377506354,68,0.384745537,68,0.462364371,68,0.655968107
69,0.374509003,69,0.376278611,69,0.449914848,69,0.640080754
70,0.371387395,70,0.368417469,70,0.439373472,70,0.62422273
71,0.368217849,71,0.363126641,71,0.430740187,71,0.607856589
72,0.364788626,72,0.358608807,72,0.422022618,72,0.59084506
73,0.361337387,73,0.35407473,73,0.413211697,73,0.573676409
74,0.357769087,74,0.349725777,74,0.404264763,74,0.557840803
75,0.354408397,75,0.343945328,75,0.396257134,75,0.54274402
76,0.351059611,76,0.337644443,76,0.388434433,76,0.528150521
77,0.347493501,77,0.333290107,77,0.379975558,77,0.516243362
78,0.343908996,78,0.328907138,78,0.371421454,78,0.504197259
79,0.340246731,79,0.32452719,79,0.362938257,79,0.492784096
80,0.336369755,80,0.320224732,80,0.354921647,80,0.483821499
81,0.332990112,81,0.317325532,81,0.34696316,81,0.474775103
82,0.330034944,82,0.313495996,82,0.339308,82,0.465984497
83,0.327324586,83,0.308479289,83,0.333084661,83,0.457925226
84,0.325324136,84,0.304252471,84,0.329886346,84,0.448725836
85,0.323692353,85,0.300781389,85,0.328857907,85,0.438520461
,,,,,0.328662418,,0.428194916
,,,,,0.32846687,,0.418255932
,,,,,0.328271264,,0.409285574